Município;Cargo;Nome;Partido;Genero
BODOC√ì;VEREADOR;NILSON DE ANCHIETA;MDB;MASCULINO
BODOC√ì;VEREADOR;ALUIZIO ANDRADE;PRD;MASCULINO
BODOC√ì;VEREADOR;JOEL BEZERRA;PRD;MASCULINO
BODOC√ì;VEREADOR;DANIEL TAVARES;PRD;MASCULINO
BODOC√ì;VEREADOR;NEGO DO PIPA;PDT;MASCULINO
CANHOTINHO;VEREADOR;ERIVALDO DE TUPY;PODE;MASCULINO
CANHOTINHO;VEREADOR;ROBERTINHO DE PAQUEVIRA;REPUBLICANOS;MASCULINO
CANHOTINHO;VEREADOR;AI√Å DE COUTO;REPUBLICANOS;MASCULINO
GRAVAT√Å;VEREADOR;NINO DA GAIOLA;PP;MASCULINO
ITAMB√â;VEREADOR;EDVALDO DE CARIC√â;PV;MASCULINO
ITAMB√â;VEREADOR;VER√îNICA LIMA;PDT;FEMININO
ITAMB√â;VEREADOR;FRANKLIN ORNILO;PSD;MASCULINO
ITAPETIM;VEREADOR;ALEXANDRE DE C√çCERO EIECO;PSB;MASCULINO
ITAPETIM;VEREADOR;CARLOS NUNES;PSB;MASCULINO
PARANATAMA;VEREADOR;LUCAS BARRETO;PT;MASCULINO
SURUBIM;VEREADOR;MICHERLAN;UNI√ÉO;MASCULINO
SURUBIM;VEREADOR;ANA MARIA DE IVETE SINDICATO;PT;FEMININO
SURUBIM;VEREADOR;NAILTON DO JUC√Å;PSB;MASCULINO
SURUBIM;VEREADOR;ITAMAR;PSB;MASCULINO
BOM CONSELHO;VEREADOR;BEBETO DO SINDICATO;PT;MASCULINO
RIO FORMOSO;VEREADOR;CAMILLE DE CONCEI√á√ÉO;PSB;FEMININO
TAMANDAR√â;VEREADOR;CACAU CONSTRUTOR;PDT;MASCULINO
TAMANDAR√â;VEREADOR;JAL MARCENEIRO;REPUBLICANOS;MASCULINO
VENTUROSA;VEREADOR;NELCIMAR;REPUBLICANOS;MASCULINO
VENTUROSA;VEREADOR;DUD√â;PSD;MASCULINO
ITACURUBA;VEREADOR;AILTON PAJE√ö;PT;MASCULINO
ITACURUBA;VEREADOR;FLAVINHO;PSB;MASCULINO
ITACURUBA;VEREADOR;RINALDO PAJE√ö;PP;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;HENRIQUE METAL√öRGICO;PT;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;ADEILDO DA IGREJA;PL;MASCULINO
PAUDALHO;VEREADOR;TETO DO POVO;REPUBLICANOS;MASCULINO
